index,adress,arrondissement,date,school,lat,long
82,,17,2021-03-08T19:00:00-05:00,Oui,48.88981463,2.324684421
83,,17,2021-03-08T19:00:00-05:00,Oui,48.88745003,2.311796928
84,Rue du Pont Neuf,1,2021-07-05T20:00:00-04:00,Non,48.85917053,2.343283205
85,Passage Driancourt,12,2022-02-21T20:00:00-05:00,Non,48.84934651,2.38040018
86,Rue de Moussy,4,2021-11-18T20:00:00-05:00,Oui,48.85765104,2.355644792
87,0,18,,Non,48.8906479,2.361329758
88,0,3,2016-07-11T22:00:00-04:00,Non,48.8595302,2.362525485
89,0,2,2007-10-18T22:00:00-04:00,Non,48.86805895,2.337189803
90,0,13,,Non,48.82643112,2.35404034
91,0,2,2007-01-08T20:00:00-05:00,Non,48.86853668,2.352268402
92,0,13,2006-08-10T22:00:00-04:00,Non,48.83522095,2.378005526
93,Rue Blanchard,20,2019-10-07T20:00:00-04:00,Non,48.85754667,2.4104505
94,Rue des Perchamps,16,2021-08-19T20:00:00-04:00,Oui,48.84920898,2.267922623
95,0,18,2018-09-10T22:00:00-04:00,Non,48.89598294,2.347668849
96,0,10,,Non,48.87287382,2.358344489
97,0,14,2007-02-12T20:00:00-05:00,Non,48.82607074,2.308398263
98,Rue Eugène Spuller,3,2019-07-08T22:00:00-04:00,Non,48.86404517,2.361444827
99,0,2,,Non,48.87077521,2.337703533
100,,18,2022-08-09T22:00:00-04:00,Oui,48.8835085,2.340741315
101,0,19,,Non,48.87991085,2.395074148
102,Zac Bercy,12,1999-06-14T22:00:00-04:00,Non,48.83448314,2.386876972
103,0,9,2005-11-17T20:00:00-05:00,Non,48.87417168,2.337862972
104,Rue de l'Elysée Ménilmontant,20,,Non,48.86913039,2.386441856
105,0,17,,Non,48.88329947,2.324036826
106,0,3,,Non,48.86400525,2.357703118
107,0,6,2009-12-10T20:00:00-05:00,Non,48.85286175,2.343488077
108,0,20,2010-10-07T22:00:00-04:00,Non,48.86585471,2.391058742
109,0,18,2007-08-13T22:00:00-04:00,Non,48.89106732,2.360735726
110,0,1,1999-06-17T22:00:00-04:00,Non,48.86320487,2.336092476
111,0,19,,Non,48.88263515,2.382129342
112,0,15,2001-01-03T20:00:00-05:00,Non,48.84460892,2.277786935
113,,13,2020-12-07T19:00:00-05:00,Oui,48.82062215,2.368872349
114,0,5,,Non,48.8518223,2.344560099
115,Villa Victor Hugo,16,2022-06-30T22:00:00-04:00,Non,48.86773674,2.279334557
116,Rue Huygens,14,2021-09-06T20:00:00-04:00,Oui,48.84089864,2.328745717
117,,9,2022-08-22T20:00:00-04:00,Non,48.87504501,2.339995292
118,Promenade Claude Levi-Strauss,13,2022-05-26T20:00:00-04:00,Non,48.83254056,2.373421381
119,0,12,2008-09-04T22:00:00-04:00,Non,48.8453596,2.380147071
120,0,1,2016-02-15T19:00:00-05:00,Non,48.86326477,2.338132385
121,0,16,,Non,48.85534023,2.26205844
122,0,18,2012-06-21T20:00:00-04:00,Non,48.88972957,2.352458055
123,0,17,2005-05-19T22:00:00-04:00,Non,48.88865181,2.320984978
124,0,18,2006-06-12T22:00:00-04:00,Non,48.88667669,2.340784487
125,zone Père Lachaise,20,2018-09-27T22:00:00-04:00,Non,48.86465616,2.397574467
126,0,20,2009-10-26T21:00:00-04:00,Non,48.85603801,2.401503029
127,Rue Prisse d’Avennes,14,2021-09-20T22:00:00-04:00,Oui,48.82520163,2.328297535
128,Rue Eblé,7,2021-10-04T22:00:00-04:00,Oui,48.84900267,2.313271039
129,0,17,,Non,48.88065531,2.292435924
130,0,14,2009-12-10T20:00:00-05:00,Non,48.83333344,2.313364779
131,0,3,,Non,48.86687042,2.353700643
132,0,15,,Non,48.83882432,2.279818503
133,,16,2020-09-24T22:00:00-04:00,Oui,48.87019849,2.290080009
134,0,11,2007-10-11T22:00:00-04:00,Non,48.85787928,2.379537599
135,Rue de Moscou,7,2021-09-02T20:00:00-04:00,Oui,48.88008757,2.326047157
136,Rue Cavé,18,2021-03-29T20:00:00-04:00,Non,48.88676119,2.355210581
137,Rue Schutzenberger,15,2022-04-04T22:00:00-04:00,Oui,48.85066714,2.288047775
138,Rue Jean Arp,13,2022-05-26T20:00:00-04:00,Non,48.83671621,2.373495056
139,0,19,,Non,48.88410357,2.387012902
140,0,11,,Non,48.86243569,2.374921871
141,0,7,,Non,48.85877302,2.319520368
142,0,15,,Non,48.85258235,2.283324521
