index,place,location,percent_veg,percent_high_veg,adress,arrondissement,place_type,lat,long
933,ESPLANADE DES INVALIDES,Promenades ouvertes,0.24634257,24.634257,15 RUE FABERT,7,Esplanade,48.86033669,2.313111406
934,JARDIN DE L'AVENUE FOCH - PELOUSE 03,Promenades ouvertes,0.31621375,31.621375,10 AV FOCH,16,Jardin,48.8722341,2.277637954
935,JARDIN DE L'AVENUE FOCH - PELOUSE 13,Promenades ouvertes,0.37196195,37.196195,10 AV FOCH,16,Jardin,48.87314226,2.291409964
936,JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR,Promenades ouvertes,0.19639447,19.639447,2 BX QU SAINT BERNARD,5,Jardin,48.84738907,2.360933284
937,Bois de Boulogne,Bois,0.63606231,63.606231,,16,Bois,48.87312657,2.260585803
938,SQUARE DU QUAI DE LA LOIRE,Promenades ouvertes,0.36510744,36.510744,33 QU LOIRE,19,Square,48.88610473,2.375967743
939,SQUARE PATURLE,Promenades ouvertes,0.00888691,0.888691,1 RUE PATURLE,14,Square,48.82878717,2.306770326
940,SQUARE SUZANNE BUISSON,Promenades ouvertes,0.09003728,9.003728,7 B RUE GIRARDON,18,Square,48.88819897,2.337147298
941,Jardin du Carré de BAUDOIN,Promenades ouvertes,0.34348507,34.348507,119 RUE MENILMONTANT,20,Jardin,48.86992189,2.393529531
942,SQUARE DE LA RUE HENRI HUCHARD,Promenades ouvertes,0.10246553,10.246553,36 AV PORTE SAINT OUEN,18,Square,48.8997672,2.330825116
943,Bois de Boulogne,Bois,0.84125076,84.125076,,16,Bois,48.86534293,2.246540732
944,Bois de Boulogne,Bois,0.74123705,74.123705,,16,Bois,48.86800403,2.255757319
