index,price,adress,arrondissement,m2,rooms,pricem2,lat,long,tree_dist,tree_num,ilot_dist,wrong_num,ilot_num,aire_dist,aire_num
11221,515150,97 rue de charonne 75011,11,45,2,11448,48.854308,2.383348,913,98,237,611,612,188,393
11222,330000,97 rue de charonne 75011,11,32,1,10312,48.854308,2.383348,913,98,237,611,612,188,393
11223,280700,97 rue de charonne 75011,11,30,1,9357,48.854308,2.383348,913,98,237,611,612,188,393
11224,150000,97 rue de charonne 75011,11,26,1,5769,48.854308,2.383348,913,98,237,611,612,188,393
23354,268000,80 rue de levis 75017,17,22,1,12182,48.884543,2.312253,299,103,235,487,488,188,483
16109,395000,68 rue de gergovie 75014,14,32,2,12344,48.832304,2.316985,752,72,231,107,108,188,402
16110,350000,68 rue de gergovie 75014,14,29,2,12069,48.832304,2.316985,752,72,231,107,108,188,402
16111,350000,68 rue de gergovie 75014,14,31,2,11290,48.832304,2.316985,752,72,231,107,108,188,402
12475,807700,7 rue dorian 75012,12,80,3,10096,48.846707,2.392949,651,84,228,877,878,188,429
519,163000,29 rue dussoubs 75002,2,15,1,10867,48.866485,2.349191,710,40,225,713,714,188,482
28330,631450,116 rue lamarck 75018,18,54,2,11694,48.890663,2.33397,630,18,223,365,366,188,44
28331,574000,116 rue lamarck 75018,18,52,2,11038,48.890663,2.33397,630,18,223,365,366,188,44
26468,355238,85 rue duhesme 75018,18,36,2,9868,48.894332,2.343925,269,75,222,646,647,188,145
33183,860000,20 rue des maraichers 75020,20,87,4,9885,48.849279,2.407752,1165,93,213,701,702,188,405
33184,836000,20 rue des maraichers 75020,20,87,4,9609,48.849279,2.407752,1165,93,213,701,702,188,405
26625,750000,10 rue damremont 75018,18,52,3,14423,48.887547,2.332759,296,18,211,41,42,188,430
26626,650000,10 rue damremont 75018,18,53,3,12264,48.887547,2.332759,296,18,211,41,42,188,430
26627,624700,10 rue damremont 75018,18,54,3,11569,48.887547,2.332759,296,18,211,41,42,188,430
26628,620000,10 rue damremont 75018,18,56,3,11071,48.887547,2.332759,296,18,211,41,42,188,430
26629,428000,10 rue damremont 75018,18,39,2,10974,48.887547,2.332759,296,18,211,41,42,188,430
26630,395000,10 rue damremont 75018,18,39,3,10128,48.887547,2.332759,296,18,211,41,42,188,430
18815,240000,33 rue robert lindet 75015,15,21,1,11429,48.832705,2.297433,735,8,209,245,246,188,534
18816,350000,33 rue robert lindet 75015,15,35,2,10000,48.832705,2.297433,735,8,209,245,246,188,534
18817,179588,33 rue robert lindet 75015,15,22,1,8163,48.832705,2.297433,735,8,209,245,246,188,534
17378,550000,32 rue jean maridor 75015,15,49,3,11224,48.838409,2.287082,344,62,208,15,16,188,163
13484,933900,12 rue martin bernard 75013,13,75,4,12452,48.826687,2.350375,245,92,200,93,94,188,527
13485,895500,12 rue martin bernard 75013,13,77,4,11630,48.826687,2.350375,245,92,200,93,94,188,527
13486,265000,12 rue martin bernard 75013,13,25,2,10600,48.826687,2.350375,245,92,200,93,94,188,527
13487,668390,12 rue martin bernard 75013,13,65,3,10283,48.826687,2.350375,245,92,200,93,94,188,527
13488,724000,12 rue martin bernard 75013,13,77,4,9403,48.826687,2.350375,245,92,200,93,94,188,527
26173,190000,52 rue ordener 75018,18,15,1,12667,48.891896,2.348323,206,75,200,440,441,188,78
26174,358472.6,52 rue ordener 75018,18,29,2,12361,48.891896,2.348323,206,75,200,440,441,188,78
9527,100000,12 rue pache 75011,11,18,1,5556,48.858872,2.382603,446,98,198,69,70,188,493
28721,650000,119 rue damremont 75018,18,82,4,7927,48.896005,2.337886,814,75,196,657,658,188,162
27244,1360000,17 rue etex 75018,18,100,5,13600,48.890786,2.327677,384,123,186,647,648,188,356
27245,755000,17 rue etex 75018,18,68,3,11103,48.890786,2.327677,384,123,186,647,648,188,356
18714,149400,61 rue des entrepreneurs 75015,15,18,1,8300,48.845481,2.288818,694,20,183,416,417,188,437
31981,1100000,116 rue pelleport 75020,20,113,3,9735,48.869836,2.400214,444,91,167,309,310,188,302
31982,397100,116 rue pelleport 75020,20,46,2,8633,48.869836,2.400214,444,91,167,309,310,188,302
31983,245000,116 rue pelleport 75020,20,30,1,8167,48.869836,2.400214,444,91,167,309,310,188,302
31984,578460,116 rue pelleport 75020,20,71,3,8147,48.869836,2.400214,444,91,167,309,310,188,302
17805,482630,14 rue de vichy 75015,15,47,2,10269,48.833794,2.294424,456,8,149,219,220,188,534
17806,461760,14 rue de vichy 75015,15,48,2,9620,48.833794,2.294424,456,8,149,219,220,188,534
17807,400000,14 rue de vichy 75015,15,48,3,8333,48.833794,2.294424,456,8,149,219,220,188,534
17808,386072,14 rue de vichy 75015,15,48,2,8043,48.833794,2.294424,456,8,149,219,220,188,534
5670,995000,3 rue de montholon 75009,9,100,4,9950,48.876572,2.348148,127,43,148,900,901,188,435
1585,680000,50 rue du temple 75004,4,53,3,12830,48.86029,2.354866,138,40,146,79,80,188,460
2587,378250,10 rue gracieuse 75005,5,31,2,12202,48.842424,2.351593,325,56,144,200,201,188,294
14505,472700,12 rue ponscarme 75013,13,47,2,10057,48.826432,2.367346,703,27,134,654,655,188,325
8749,440500,30 rue saint ambroise 75011,11,42,2,10488,48.862888,2.379108,115,98,134,774,775,188,161
8750,430000,30 rue saint ambroise 75011,11,42,2,10238,48.862888,2.379108,115,98,134,774,775,188,161
18127,765000,8 rue auguste bartholdi 75015,15,62,3,12339,48.850736,2.294359,543,78,131,55,56,188,544
18128,697500,8 rue auguste bartholdi 75015,15,59,2,11822,48.850736,2.294359,543,78,131,55,56,188,544
24916,200000,70 av des ternes 75017,17,25,1,8000,48.879752,2.290186,674,36,129,19,20,188,236
30497,240000,253 rue de belleville 75019,19,25,2,9600,48.875555,2.398147,614,90,123,801,802,188,416
8736,345000,63 rue saint maur 75011,11,20,2,17250,48.862755,2.379455,105,98,123,774,775,188,161
8737,490000,63 rue saint maur 75011,11,51,3,9608,48.862755,2.379455,105,98,123,774,775,188,161
15926,134250,77 rue de gergovie 75014,14,14,1,9589,48.83126,2.318604,618,72,118,321,322,188,434
15764,270000,10 rue henri regnault 75014,14,26,3,10385,48.824583,2.330356,554,26,116,233,234,188,127
8742,650000,45 rue saint maur 75011,11,51,2,12745,48.861751,2.380398,112,98,113,774,775,188,161
18679,745000,153 rue de lourmel 75015,15,101,4,7376,48.839926,2.283589,683,62,104,478,479,188,18
3087,135000,11 rue jacob 75006,6,12,1,11250,48.854954,2.335434,80,119,104,32,33,188,513
25694,229000,5 rue joseph dijon 75018,18,20,2,11450,48.893805,2.347093,55,75,99,440,441,188,25
25695,561210,5 rue joseph dijon 75018,18,50,3,11224,48.893805,2.347093,55,75,99,440,441,188,25
10296,745000,17 rue saint sebastien 75011,11,60,3,12417,48.861172,2.369116,636,37,98,373,374,188,533
10297,508500,17 rue saint sebastien 75011,11,41,3,12402,48.861172,2.369116,636,37,98,373,374,188,533
10298,375000,17 rue saint sebastien 75011,11,41,3,9146,48.861172,2.369116,636,37,98,373,374,188,533
1515,1254500,17 rue des filles du calvaire 75003,3,89,3,14096,48.862781,2.365926,505,76,98,666,667,188,58
15434,940000,41 rue benard 75014,14,91,4,10330,48.831941,2.321324,382,72,95,729,730,188,284
15435,315000,41 rue benard 75014,14,32,1,9844,48.831941,2.321324,382,72,95,729,730,188,284
21669,1590000,28 rue claude lorrain 75016,16,145,5,10966,48.841443,2.260324,737,74,94,392,393,188,251
10435,505150,56 bd voltaire 75011,11,46,3,10982,48.862846,2.371325,669,98,66,605,606,188,10
10436,350000,56 bd voltaire 75011,11,34,2,10294,48.862846,2.371325,669,98,66,605,606,188,10
10478,1300000,108 bd richard lenoir 75011,11,105,5,12381,48.863895,2.371571,678,98,52,605,606,188,10
25077,366500,4 pas poncelet 75017,17,35,2,10471,48.88003,2.297463,780,13,459,226,227,187,74
12607,540000,312 rue de charenton 75012,12,55,2,9818,48.83442,2.393556,727,84,387,555,556,187,494
10292,149000,2 pas de la fonderie 75011,11,12,1,12417,48.866879,2.375511,635,98,377,475,476,187,182
10293,77000,2 pas de la fonderie 75011,11,12,1,6417,48.866879,2.375511,635,98,377,475,476,187,182
1328,296970,35 rue notre-dame de nazareth 75003,3,24,2,12374,48.867406,2.358186,352,76,372,472,473,187,375
8011,400000,192 rue la fayette 75010,10,33,2,12121,48.880936,2.363631,594,121,371,381,382,187,404
8012,388000,192 rue la fayette 75010,10,43,2,9023,48.880936,2.363631,594,121,371,381,382,187,404
8013,420000,192 rue la fayette 75010,10,65,3,6462,48.880936,2.363631,594,121,371,381,382,187,404
22311,450000,17 rue claude terrasse 75016,16,67,3,6716,48.839171,2.262927,1071,74,368,392,393,187,374
